id,date_start,type_of_violence,conflict_name,dyad_name,side_a,side_b,country,adm_1,adm_2,latitude,longitude,best,low,high,deaths_civilians,deaths_a,deaths_b,deaths_unknown,where_description,active_year
537048,2023-10-13,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Zaporizhzhya oblast,Polohy raion,47.411565,35.840854,4,1,8,0,4,0,0,"Novoprokopivka, Polohy raion",True
553755,2024-05-18,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Kherson oblast,Beryslav raion,47.43329,33.40506,1,1,1,0,0,1,0,"Urozhaynoye and Staromayorskoye, Vladimirovka and Novomayorskoye  
/
Makarovka area 
/
settlements of Krasnogorovka, Konstantinovka and Novy of the Donetsk People's Republic

Novgorodskoye, Arkhangelskoye, Ocheretino, Solovyovo, Netaylovo, Umanskoye and Berdychi 

/
settlements of Semyonovka, Mayorsk, Kalinovo and Novgorodskoye of the Donetsk People's Republic",True
481827,2023-07-14,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Luhansk oblast,Severodonetsk raion,49.00048,38.11234,1,1,5,0,1,0,0,Lymansk-Kupyansk direction: in Dibrova region of Luhansk region and Novosadovo region of Donetsk region,True
498947,2023-11-11,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Donetsk oblast,Pokrovsk raion,48.145278,37.745,3,3,3,0,0,3,0,near Avdiivka,True
439034,2022-05-30,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Kherson oblast,Beryslav raion,47.236815,33.191444,3,2,5,0,0,3,0,Davydiv Brid in #Kherson Oblast.,True
491443,2023-08-08,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Donetsk oblast,Pokrovsk raion,48.145278,37.745,4,2,7,0,4,0,0,Avdiyivka direction,True
491373,2023-09-21,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Donetsk oblast,Pokrovsk raion,47.941669,37.504218,1,1,1,0,0,1,0,Donetsk direction:  area of ​​the settlements of Vodyanoye and Maryinka of the Donetsk People’s Republic,True
444250,2022-08-03,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Donetsk oblast,Donetsk raion,47.921111,37.578056,1,1,1,1,0,0,0,Oleksandrivka,True
491583,2023-09-17,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Donetsk oblast,Bakhmut raion,48.469339,37.959252,1,1,1,0,0,1,0,"Kurdyumivka, Bakhmut district, Donetsk region",True
520850,2024-04-26,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Donetsk oblast,Pokrovsk raion,47.973271,37.3965,1,1,1,0,0,1,0,"along the front line, Maksimilyanovka, Katerinovka, Paraskoviyevka, Chasiv Yar, Stupochki, Konstantinovka, Nevelskoye and Krasnogorovka of the Donetsk People's Republic",True
534011,2023-11-08,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Zaporizhzhya oblast,Polohy raion,47.5,36.38,6,2,6,0,6,0,0,Polohy raion,True
497585,2023-10-29,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,,,49.508475,37.937847,2,2,106,0,2,0,0,Kupyan direction,True
532137,2022-07-22,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Donetsk oblast,Bakhmut raion,48.813056,38.195556,1,1,1,0,0,1,0,Ivano-Dar'yivka,True
462414,2023-02-02,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Kherson oblast,,46.6406,32.61589,1,1,1,1,0,0,0,Kherson,True
453600,2022-10-31,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,,,49.0,32.0,68,68,43,0,68,0,0,Ukraine,True
449836,2022-10-05,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Donetsk oblast,Donetsk raion,48.0,37.805278,3,3,3,3,0,0,0,urban-type settlement of Staromikhailovka and the Kirovsky district of Donetsk,True
